---,ConditionType,DisplayName,Description,ProgressionRate,LethalSeverity,ProgressesTo,ProgressionThreshold,HeartRateModPerSeverity,BPModPerSeverity,TempModPerSeverity,SpO2ModPerSeverity,RespRateModPerSeverity,ConfusionThreshold,UnconsciousThreshold,bIsTreatable,TreatedRecoveryRate,NaturalRecoveryRate,UIColor,Icon
Infection,"Infection","Infection","A localized bacterial infection at a wound site. If untreated, can spread to bloodstream causing sepsis.","0.500000","100.000000","Sepsis","80.000000","0.300000","-0.200000","0.030000","0.000000","0.100000","70.000000","90.000000","True","2.000000","0.100000","(R=0.800000,G=0.600000,B=0.200000,A=1.000000)","None"
Sepsis,"Sepsis","Sepsis","Systemic blood infection causing widespread inflammation. Life-threatening without immediate treatment.","1.500000","100.000000","None","100.000000","0.800000","-0.500000","0.050000","-0.200000","0.300000","40.000000","70.000000","True","1.000000","0.000000","(R=0.600000,G=0.200000,B=0.300000,A=1.000000)","None"
BloodClot,"BloodClot","Blood Clot","A thrombus in the bloodstream. Can break loose and cause stroke or pulmonary embolism.","0.200000","100.000000","None","100.000000","0.200000","0.100000","0.000000","-0.300000","0.100000","60.000000","85.000000","True","0.500000","0.050000","(R=0.400000,G=0.100000,B=0.200000,A=1.000000)","None"
Concussion,"Concussion","Concussion","Traumatic brain injury causing temporary dysfunction. Requires rest to heal.","0.000000","100.000000","None","100.000000","0.100000","0.000000","0.000000","0.000000","0.000000","30.000000","60.000000","True","0.800000","0.300000","(R=0.500000,G=0.500000,B=0.700000,A=1.000000)","None"
Shock,"Shock","Shock","Circulatory collapse from trauma or blood loss. Body cannot maintain adequate blood flow.","2.000000","100.000000","None","100.000000","1.200000","-1.000000","-0.010000","-0.400000","0.500000","30.000000","50.000000","True","3.000000","0.000000","(R=0.300000,G=0.300000,B=0.400000,A=1.000000)","None"
FoodPoisoning,"FoodPoisoning","Food Poisoning","Illness from contaminated food causing vomiting and diarrhea. Leads to rapid dehydration.","0.300000","100.000000","Dehydration","70.000000","0.400000","-0.300000","0.020000","0.000000","0.100000","60.000000","85.000000","True","1.500000","0.500000","(R=0.600000,G=0.700000,B=0.300000,A=1.000000)","None"
WaterborneDisease,"WaterborneDisease","Waterborne Disease","Illness from contaminated water. Causes severe gastrointestinal distress and dehydration.","0.400000","100.000000","Dehydration","60.000000","0.300000","-0.400000","0.030000","0.000000","0.200000","55.000000","80.000000","True","1.200000","0.300000","(R=0.300000,G=0.500000,B=0.600000,A=1.000000)","None"
Parasites,"Parasites","Parasitic Infection","Internal parasites consuming nutrients and causing weakness. Long-term effects if untreated.","0.100000","100.000000","None","100.000000","0.100000","0.000000","0.010000","0.000000","0.000000","80.000000","95.000000","True","0.800000","0.000000","(R=0.500000,G=0.400000,B=0.300000,A=1.000000)","None"
Hypothermia,"Hypothermia","Hypothermia","Dangerously low body temperature. Causes confusion, drowsiness, and eventually cardiac arrest.","1.000000","100.000000","None","100.000000","-0.500000","-0.300000","-0.050000","-0.100000","-0.200000","40.000000","70.000000","True","2.500000","0.000000","(R=0.300000,G=0.500000,B=0.800000,A=1.000000)","None"
Hyperthermia,"Hyperthermia","Heat Stroke","Dangerously high body temperature. Causes organ damage and death if not cooled rapidly.","1.500000","100.000000","None","100.000000","0.600000","-0.200000","0.060000","-0.100000","0.400000","50.000000","75.000000","True","2.000000","0.200000","(R=1.000000,G=0.500000,B=0.200000,A=1.000000)","None"
Dehydration,"Dehydration","Dehydration","Insufficient fluid levels in the body. Affects all bodily functions and can be fatal.","0.800000","100.000000","None","100.000000","0.400000","-0.500000","0.010000","0.000000","0.200000","50.000000","80.000000","True","3.000000","0.000000","(R=0.800000,G=0.700000,B=0.500000,A=1.000000)","None"
Starvation,"Starvation","Starvation","Prolonged lack of food causing the body to consume itself. Weakness and organ failure ensue.","0.200000","100.000000","None","100.000000","-0.200000","-0.300000","-0.010000","0.000000","-0.100000","60.000000","90.000000","True","1.000000","0.000000","(R=0.600000,G=0.500000,B=0.400000,A=1.000000)","None"
