---,SkillId,DisplayName,Description,Category,MaxLevel,BaseXPPerLevel,XPExponent,Icon,HowToIncrease
Athletics,Athletics,"Athletics","Physical conditioning developed through millennia of human migration. Our ancestors walked thousands of miles following game herds and seasonal food sources. The persistence hunting technique - running prey to exhaustion over hours - required extraordinary endurance that modern humans still possess but rarely develop.",Survival,100,150.0,1.6,,"Walk, jog, or sprint to build endurance. Sprinting grants the most XP but consumes stamina quickly. Long-distance travel builds the deepest reserves."
Cooking,Cooking,"Cooking","The controlled use of fire for food preparation - a uniquely human behavior dating back at least 400,000 years. Cooking breaks down plant fibers, denatures proteins, and kills parasites, effectively pre-digesting food and allowing our ancestors to extract far more calories with less digestive effort. This freed metabolic energy for brain development.",Survival,100,100.0,1.5,,"Cook food at campfires, hearths, or clay ovens. Roasting, boiling, and smoking each teach different techniques. Complex multi-ingredient dishes grant significant experience."
Foraging,Foraging,"Foraging","The original human subsistence strategy, practiced for over 2 million years before agriculture. Successful foraging requires encyclopedic knowledge of hundreds of plant species - their seasons, habitats, preparation requirements, and dangers. A skilled forager sees abundance where others see wilderness.",Survival,100,80.0,1.4,,"Gather wild plants, tubers, nuts, berries, and fungi. Inspect unfamiliar plants to learn their properties. Seasonal knowledge compounds - the same location yields different foods throughout the year."
Firemaking,Firemaking,"Firemaking","Mastery over fire transformed human existence. Evidence suggests controlled fire use began 1.5 million years ago, though reliable fire-starting is far more recent. The hand drill, bow drill, and fire plough represent different solutions to the same problem: generating enough friction heat to ignite tinder. Each method demands understanding of wood properties, weather conditions, and technique.",Survival,100,60.0,1.3,,"Practice friction fire methods: hand drill, bow drill, fire plough. Learn which woods make good spindles and fireboards. Prepare proper tinder bundles. Flint and steel comes much later."
Fishing,Fishing,"Fishing","Exploitation of aquatic resources dates back at least 40,000 years, with evidence of fish hooks, harpoons, and weirs. Fishing provided reliable protein sources and enabled coastal settlement. Different techniques evolved for different waters - spearfishing in shallows, weirs in streams, nets in open water, lines for deep fish.",Survival,100,90.0,1.4,,"Spearfish in shallows, build fish traps and weirs in streams, craft nets for larger catches. Learn fish behavior and seasonal patterns. Different waters require different approaches."
Hunting,Hunting,"Hunting","For 2 million years, hunting shaped human evolution - our upright stance, throwing ability, endurance running, and social cooperation all developed in pursuit of game. Early hunting relied on persistence, driving prey to exhaustion. Later innovations - the atlatl, bow, and organized drives - made hunting more efficient and less dangerous.",Survival,100,120.0,1.5,,"Track animals by their signs - prints, scat, disturbed vegetation. Set snares and deadfalls on game trails. Drive prey toward natural obstacles. Butcher kills completely - waste nothing."
Farming,Farming,"Farming","The Neolithic Revolution, beginning around 10,000 BCE, fundamentally altered human society. Deliberate cultivation of wild grasses produced wheat, barley, and rice. This transition from foraging to farming was neither quick nor inevitable - it required generations of accumulated knowledge about plant cycles, soil conditions, and seed selection.",Survival,100,100.0,1.5,,"Prepare soil with digging sticks or primitive plows. Plant seeds at proper depths and spacing. Weed, water, and protect crops. Harvest at peak ripeness. Save the best seeds for next season."
Stoneworking,Stoneworking,"Stoneworking","The defining technology of 99% of human existence. The earliest Oldowan tools - simple cobbles with a few flakes removed - appeared 2.6 million years ago. By the Acheulean period, hand axes showed remarkable symmetry and forethought. Pressure flaking, developed later, produced razor-sharp blades thinner than modern surgical scalpels. Each flake removal is irreversible - mastery requires understanding fracture mechanics.",Crafting,100,80.0,1.4,,"Begin with simple hammerstone percussion on river cobbles. Progress to prepared core techniques. Master pressure flaking for fine work. Learn which stones flake predictably: flint, obsidian, chert, quartzite."
Woodworking,Woodworking,"Woodworking","Wood was humanity's first and most versatile material, though it rarely survives archaeologically. The 400,000-year-old Schöningen spears prove sophisticated woodworking existed deep in prehistory. A skilled woodworker understands each tree species - which woods bend, which split cleanly, which resist rot, which hold an edge.",Crafting,100,100.0,1.5,,"Fell trees with stone axes or fire. Split logs using wooden wedges. Carve with stone blades. Steam-bend wood for bows and handles. Char and scrape for waterproofing. Process bark for containers and cordage."
Leatherworking,Leatherworking,"Leatherworking","Animal hides provided clothing, shelter, and containers for at least 100,000 years. Raw hide rots quickly; preserving it requires removing flesh and fat, then treating it with smoke, brains, bark tannins, or other agents. Each method produces leather with different properties - brain-tanned leather is soft and washable; bark-tanned is stiff and water-resistant.",Crafting,100,100.0,1.5,,"Flesh hides immediately after skinning. Dehair by soaking or scraping. Brain-tan for soft buckskin, bark-tan for stiff leather. Smoke for water resistance. Cut and stitch with bone awls and sinew thread."
Pottery,Pottery,"Pottery","Ceramic technology emerged independently worldwide, with the oldest known pottery dating to 20,000 years ago in China. Shaping clay, drying it slowly to prevent cracking, then firing it hot enough to vitrify the surface transformed soft mud into permanent, waterproof containers. Pottery enabled boiling, fermentation, and long-term storage.",Crafting,100,90.0,1.4,,"Gather clay from riverbanks. Remove stones and organic matter. Temper with sand, crusite shell, or grog. Build vessels by coiling or pinching. Dry slowly in shade. Fire in open pits or kilns."
Weaving,Weaving,"Weaving","Twisted plant fiber cordage dates back at least 50,000 years - older than any other preserved technology. The simple principle of counter-twisting fibers to lock them in tension enabled nets, snares, hafted tools, and eventually textiles. Basket weaving, using similar interlocking principles, provided lightweight waterproof containers.",Crafting,100,90.0,1.4,,"Harvest plant fibers: nettle, flax, hemp, bark. Ret (rot) stems to release fibers. Spin fibers into cordage by rolling on thigh. Weave baskets, mats, and eventually cloth on simple looms."
Smithing,Smithing,"Smithing","Metalworking began with native copper around 9000 BCE - hammering pure metal found in nature. True smelting, extracting metal from ore, appeared by 5000 BCE and required understanding of high-temperature chemistry. The Bronze Age alloy of copper and tin produced harder metal; iron, requiring even higher temperatures, came later still.",Crafting,100,150.0,1.6,,"Begin by cold-hammering native copper. Build furnaces hot enough to melt copper. Discover that tin makes bronze harder. Eventually achieve temperatures needed for iron bloom. Forge, fold, and quench."
Melee,Melee,"Melee Combat","Close combat predates humanity itself, but weapon use transformed it into something uniquely human. The oldest wooden spears are 400,000 years old. Combat with hand weapons demands understanding of range, timing, and leverage. Different weapons suit different situations - clubs for blunt trauma, spears for reach, axes for armor-piercing.",Combat,100,120.0,1.5,,"Practice with training weapons. Learn each weapon's range and rhythm. Spar against opponents of varying skill. Real combat teaches fastest but risks injury. Study historical techniques."
Ranged,Ranged,"Ranged Combat","Thrown weapons extended human reach and reduced hunting danger. The atlatl (spear-thrower), appearing 30,000 years ago, effectively lengthened the arm and doubled throwing velocity. The bow, developed later, stored energy for on-demand release. Both weapons require understanding of trajectory, leading targets, and arrow/dart construction.",Combat,100,120.0,1.5,,"Practice throwing at targets - spears, stones, javelins. Learn atlatl technique for greater power. Master bow: proper draw, anchor point, release. Understand arrow spine and fletching. Adjust for wind and distance."
Defense,Defense,"Defense","Survival in conflict requires more than offense. Shields appeared by the Bronze Age but defensive fighting is older - using terrain, parrying, and evasion. Understanding how attacks work teaches how to defeat them. Armor, when available, changes the calculus entirely.",Combat,100,100.0,1.4,,"Practice parrying and blocking with weapons. Use shields actively, not passively. Learn to read opponent's intentions. Take hits in training to learn what you can survive. Build and test armor."
Medicine,Medicine,"Medicine","Healing knowledge is ancient - Neanderthals used medicinal plants 60,000 years ago. Treating injuries requires understanding which wounds heal with time, which require intervention, and which are beyond help. Infection was the great killer before modern antibiotics; cleanliness and herbal antiseptics mattered enormously.",Knowledge,100,100.0,1.5,,"Clean and dress wounds immediately. Set broken bones properly. Recognize signs of infection. Learn which herbs fight infection, reduce fever, ease pain. Practice on minor injuries first."
Herbalism,Herbalism,"Herbalism","Every human culture developed extensive plant pharmacology through millennia of trial and observation. Willow bark for pain (aspirin), foxglove for heart conditions (digitalis), poppy for sedation (morphine) - modern medicine derives from this ancient knowledge. A skilled herbalist recognizes hundreds of species and their preparations.",Knowledge,100,90.0,1.4,,"Inspect plants carefully to learn properties. Note where each species grows and when it fruits. Learn preparation methods: teas, poultices, tinctures. Document which treatments work. Some knowledge is dangerous."
Anatomy,Anatomy,"Anatomy","Understanding the body comes from close observation - butchering game, treating injuries, and unfortunately, violence. Knowledge of where organs lie, how blood flows, and what injuries mean helps both healer and hunter. This knowledge was sacred in many cultures, hard-won and carefully transmitted.",Knowledge,100,120.0,1.5,,"Butcher animals carefully, noting organ placement and structure. Treat injuries to understand body systems. Study bones and their connections. This knowledge serves both healing and hunting."
Nutrition,Nutrition,"Nutrition","Long before vitamins were isolated, humans learned through observation that varied diets maintained health. Scurvy, beriberi, pellagra - deficiency diseases taught hard lessons about dietary requirements. Understanding which foods provide which benefits allows optimal health even in scarcity.",Knowledge,100,80.0,1.3,,"Inspect foods to learn their properties. Observe how different diets affect health over time. Note which foods cure which ailments. Balance your diet across food groups. Experiment carefully."
Trading,Trading,"Trading","Exchange is uniquely human. By 100,000 BCE, obsidian was traded hundreds of miles from its source. Trade networks distributed resources, spread technologies, and connected distant peoples. Successful trading requires understanding value, reading people, and building trust.",Social,100,100.0,1.5,,"Exchange goods with others - barter for mutual benefit. Learn what different people value. Build reputation through fair dealing. Understand that trade connections bring more than goods."
Leadership,Leadership,"Leadership","Human groups have always required coordination - hunting parties, seasonal migrations, defense against threats. Leadership in small-scale societies differs from later hierarchies; it depends on competence, generosity, and consensus-building rather than formal authority.",Social,100,150.0,1.6,,"Organize group activities effectively. Make decisions that benefit the group. Distribute resources fairly. Build consensus before acting. Prove competence before claiming authority."
