"---","ItemId","ItemType","Rarity","DisplayName","Description","ShortDescription","Tags","MaxStackSize","Weight","BaseValue","bConsumable","bEquippable","bQuestItem","bCanDrop","bCanTrade","ScalarProperties","UI","WorldVisual","Nutrition","Inspection","bIsTool","ToolType","ToolQuality","MaxDurability"
"Apple01","Apple01","Consumable","Common","NSLOCTEXT(""DT_Items"", ""Apple01_DisplayName"", ""Red Apple"")","NSLOCTEXT(""DT_Items"", ""Apple01_Description"", ""A small, palm-sized fruit with smooth skin that blushes deep red over pale yellow. Wild apples were gathered by humans for at least 750,000 years before domestication began around 4000 BCE in the mountains of Kazakhstan. The seeds within contain trace amounts of cyanide - a defense mechanism that ironically helped spread the species as animals discarded bitter seeds far from parent trees."")","NSLOCTEXT(""DT_Items"", ""Apple01_ShortDescription"", ""A juicy red apple."")","Fruit,Foraged,Era1","10","0.200000","1.000000","True","False","False","True","True","","(IconSmall=""/MOFramework/Items/Apple01/Apple01Icon.Apple01Icon"",IconLarge=None,Tint=(R=1.000000,G=1.000000,B=1.000000,A=1.000000))","(WorldActorClass=None,StaticMesh=""/MOFramework/Items/Apple01/Medium/tgzoahbpa_tier_2/StaticMeshes/tgzoahbpa_tier_2.tgzoahbpa_tier_2"",MaterialOverride=None,RelativeTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),bSimulatePhysics=False)","(Calories=52.000000,WaterContent=85.000000,Protein=0.300000,Carbohydrates=14.000000,Fat=0.200000,Fiber=2.400000,VitaminA=1.000000,VitaminB=2.000000,VitaminC=8.000000,VitaminD=0.000000,Iron=1.000000,Calcium=1.000000,Potassium=3.000000,Sodium=0.000000)","(Grants=((Id=""Foraging"",bIsKnowledge=False,XPAmount=5.0,MaxLevel=3),(Id=""WildFruits"",bIsKnowledge=True,XPAmount=100.0,MaxLevel=3)))","False","None","1.000000","0"
"Berries01","Berries01","Consumable","Common","NSLOCTEXT(""DT_Items"", ""Berries01_DisplayName"", ""Wild Berries"")","NSLOCTEXT(""DT_Items"", ""Berries01_Description"", ""A handful of small, dark berries gathered from thorny bushes. Berry-gathering was a cornerstone of Paleolithic nutrition - high in sugars and vitamins that were otherwise scarce. Learning to distinguish edible berries from poisonous lookalikes was essential knowledge passed down through countless generations."")","NSLOCTEXT(""DT_Items"", ""Berries01_ShortDescription"", ""Edible wild berries."")","Fruit,Foraged,Era1","20","0.050000","0.500000","True","False","False","True","True","","(IconSmall=None,IconLarge=None,Tint=(R=1.000000,G=1.000000,B=1.000000,A=1.000000))","(WorldActorClass=None,StaticMesh=None,MaterialOverride=None,RelativeTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),bSimulatePhysics=False)","(Calories=32.000000,WaterContent=88.000000,Protein=0.700000,Carbohydrates=7.000000,Fat=0.300000,Fiber=2.000000,VitaminA=1.000000,VitaminB=2.000000,VitaminC=15.000000,VitaminD=0.000000,Iron=2.000000,Calcium=2.000000,Potassium=2.000000,Sodium=0.000000)","(Grants=((Id=""Foraging"",bIsKnowledge=False,XPAmount=3.0,MaxLevel=3),(Id=""BerryTypes"",bIsKnowledge=True,XPAmount=100.0,MaxLevel=3)))","False","None","1.000000","0"
"EdibleRoot01","EdibleRoot01","Consumable","Common","NSLOCTEXT(""DT_Items"", ""EdibleRoot01_DisplayName"", ""Edible Root"")","NSLOCTEXT(""DT_Items"", ""EdibleRoot01_Description"", ""A starchy tuber dug from the earth with a digging stick. Underground storage organs were crucial to human survival - they store concentrated calories year-round when fruits and game are scarce. The earliest digging sticks, simple pointed branches, predate even stone tools. Some researchers argue that tuber exploitation drove human brain evolution."")","NSLOCTEXT(""DT_Items"", ""EdibleRoot01_ShortDescription"", ""A starchy root vegetable."")","Vegetable,Foraged,Era1","10","0.300000","0.500000","True","False","False","True","True","","(IconSmall=None,IconLarge=None,Tint=(R=1.000000,G=1.000000,B=1.000000,A=1.000000))","(WorldActorClass=None,StaticMesh=None,MaterialOverride=None,RelativeTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),bSimulatePhysics=False)","(Calories=77.000000,WaterContent=79.000000,Protein=2.000000,Carbohydrates=17.000000,Fat=0.100000,Fiber=2.200000,VitaminA=0.000000,VitaminB=4.000000,VitaminC=20.000000,VitaminD=0.000000,Iron=3.000000,Calcium=1.000000,Potassium=8.000000,Sodium=1.000000)","(Grants=((Id=""Foraging"",bIsKnowledge=False,XPAmount=8.0,MaxLevel=3),(Id=""TuberDigging"",bIsKnowledge=True,XPAmount=100.0,MaxLevel=3)))","False","None","1.000000","0"
"Mushroom01","Mushroom01","Consumable","Common","NSLOCTEXT(""DT_Items"", ""Mushroom01_DisplayName"", ""Wild Mushroom"")","NSLOCTEXT(""DT_Items"", ""Mushroom01_Description"", ""A fleshy fungus growing from decaying wood. Mushroom identification is among the most dangerous foraging knowledge - deadly species often closely resemble edible ones. Yet fungi provided essential nutrients and possibly medicine to ancient peoples. Some researchers believe Otzi the Iceman carried medicinal fungi 5,300 years ago."")","NSLOCTEXT(""DT_Items"", ""Mushroom01_ShortDescription"", ""A foraged mushroom."")","Vegetable,Foraged,Era1","10","0.050000","1.000000","True","False","False","True","True","","(IconSmall=None,IconLarge=None,Tint=(R=1.000000,G=1.000000,B=1.000000,A=1.000000))","(WorldActorClass=None,StaticMesh=None,MaterialOverride=None,RelativeTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),bSimulatePhysics=False)","(Calories=22.000000,WaterContent=92.000000,Protein=3.000000,Carbohydrates=3.000000,Fat=0.300000,Fiber=1.000000,VitaminA=0.000000,VitaminB=8.000000,VitaminC=2.000000,VitaminD=7.000000,Iron=3.000000,Calcium=0.000000,Potassium=5.000000,Sodium=0.000000)","(Grants=((Id=""Foraging"",bIsKnowledge=False,XPAmount=10.0,MaxLevel=3),(Id=""Herbalism"",bIsKnowledge=False,XPAmount=5.0,MaxLevel=3),(Id=""MushroomTypes"",bIsKnowledge=True,XPAmount=100.0,MaxLevel=3)))","False","None","1.000000","0"
"Nuts01","Nuts01","Consumable","Common","NSLOCTEXT(""DT_Items"", ""Nuts01_DisplayName"", ""Hazelnuts"")","NSLOCTEXT(""DT_Items"", ""Nuts01_Description"", ""Hard-shelled nuts gathered from hazel bushes. Nuts were a critical calorie source for Paleolithic peoples - high in fat and protein, they store well through winter when other foods are scarce. Archaeological sites across Europe contain massive deposits of hazelnut shells, suggesting organized autumn harvesting and storage."")","NSLOCTEXT(""DT_Items"", ""Nuts01_ShortDescription"", ""A handful of hazelnuts."")","Nut,Foraged,Era1","20","0.100000","1.000000","True","False","False","True","True","","(IconSmall=None,IconLarge=None,Tint=(R=1.000000,G=1.000000,B=1.000000,A=1.000000))","(WorldActorClass=None,StaticMesh=None,MaterialOverride=None,RelativeTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),bSimulatePhysics=False)","(Calories=178.000000,WaterContent=5.000000,Protein=4.200000,Carbohydrates=4.700000,Fat=17.000000,Fiber=2.700000,VitaminA=0.000000,VitaminB=5.000000,VitaminC=2.000000,VitaminD=0.000000,Iron=8.000000,Calcium=3.000000,Potassium=5.000000,Sodium=0.000000)","(Grants=((Id=""Foraging"",bIsKnowledge=False,XPAmount=4.0,MaxLevel=3),(Id=""NutProcessing"",bIsKnowledge=True,XPAmount=100.0,MaxLevel=3)))","False","None","1.000000","0"
"Acorns01","Acorns01","Consumable","Common","NSLOCTEXT(""DT_Items"", ""Acorns01_DisplayName"", ""Acorns"")","NSLOCTEXT(""DT_Items"", ""Acorns01_Description"", ""The nuts of oak trees, rich in starch but bitter with tannins. Raw acorns are unpalatable and can cause digestive distress. However, with proper processing - repeated leaching in water - they become a nutritious staple. Acorn processing required understanding of chemistry that developed over generations."")","NSLOCTEXT(""DT_Items"", ""Acorns01_ShortDescription"", ""Bitter oak nuts requiring processing."")","Nut,Foraged,Era1","20","0.080000","0.500000","True","False","False","True","True","","(IconSmall=None,IconLarge=None,Tint=(R=1.000000,G=1.000000,B=1.000000,A=1.000000))","(WorldActorClass=None,StaticMesh=None,MaterialOverride=None,RelativeTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),bSimulatePhysics=False)","(Calories=144.000000,WaterContent=40.000000,Protein=2.300000,Carbohydrates=15.000000,Fat=9.000000,Fiber=1.600000,VitaminA=1.000000,VitaminB=3.000000,VitaminC=0.000000,VitaminD=0.000000,Iron=4.000000,Calcium=2.000000,Potassium=3.000000,Sodium=0.000000)","(Grants=((Id=""Foraging"",bIsKnowledge=False,XPAmount=6.0,MaxLevel=3),(Id=""AcornLeaching"",bIsKnowledge=True,XPAmount=100.0,MaxLevel=3)))","False","None","1.000000","0"
"BirdEgg01","BirdEgg01","Consumable","Common","NSLOCTEXT(""DT_Items"", ""BirdEgg01_DisplayName"", ""Bird Egg"")","NSLOCTEXT(""DT_Items"", ""BirdEgg01_Description"", ""A speckled egg taken from a ground nest. Eggs were among the earliest protein sources exploited by our ancestors - requiring only discovery, not hunting. The shells themselves had value: ostrich eggshells were used as water containers and beads in Africa over 60,000 years ago."")","NSLOCTEXT(""DT_Items"", ""BirdEgg01_ShortDescription"", ""A wild bird egg."")","Protein,Foraged,Era1","6","0.060000","1.500000","True","False","False","True","True","","(IconSmall=None,IconLarge=None,Tint=(R=1.000000,G=1.000000,B=1.000000,A=1.000000))","(WorldActorClass=None,StaticMesh=None,MaterialOverride=None,RelativeTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),bSimulatePhysics=False)","(Calories=78.000000,WaterContent=75.000000,Protein=6.300000,Carbohydrates=0.600000,Fat=5.300000,Fiber=0.000000,VitaminA=8.000000,VitaminB=12.000000,VitaminC=0.000000,VitaminD=11.000000,Iron=6.000000,Calcium=3.000000,Potassium=2.000000,Sodium=2.000000)","(Grants=((Id=""Foraging"",bIsKnowledge=False,XPAmount=5.0,MaxLevel=3),(Id=""NestLocating"",bIsKnowledge=True,XPAmount=100.0,MaxLevel=3)))","False","None","1.000000","0"
"Stick01","Stick01","Material","Common","NSLOCTEXT(""DT_Items"", ""Stick01_DisplayName"", ""Green Branch"")","NSLOCTEXT(""DT_Items"", ""Stick01_Description"", ""A freshly-cut branch still supple with sap. Green wood bends without breaking, essential for making bows, basket rims, and tool handles. The moisture content must be carefully managed - too wet and it warps as it dries; too dry and it snaps. Understanding wood seasoning was crucial knowledge."")","NSLOCTEXT(""DT_Items"", ""Stick01_ShortDescription"", ""A flexible green branch."")","Wood,Raw,Era1","10","0.400000","0.000000","False","False","False","True","True","","(IconSmall=""/MOFramework/Items/Stick01/Stick01Icon.Stick01Icon"",IconLarge=None,Tint=(R=1.000000,G=1.000000,B=1.000000,A=1.000000))","(WorldActorClass=None,StaticMesh=""/MOFramework/Items/Stick01/Medium/uehjfcofa_tier_2/StaticMeshes/uehjfcofa_tier_2.uehjfcofa_tier_2"",MaterialOverride=None,RelativeTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),bSimulatePhysics=False)","(Calories=0.000000,WaterContent=0.000000,Protein=0.000000,Carbohydrates=0.000000,Fat=0.000000,Fiber=0.000000,VitaminA=0.000000,VitaminB=0.000000,VitaminC=0.000000,VitaminD=0.000000,Iron=0.000000,Calcium=0.000000,Potassium=0.000000,Sodium=0.000000)","(Grants=((Id=""Woodworking"",bIsKnowledge=False,XPAmount=2.0,MaxLevel=3),(Id=""WoodProperties"",bIsKnowledge=True,XPAmount=100.0,MaxLevel=3)))","False","None","1.000000","0"
"FallenBranch01","FallenBranch01","Material","Common","NSLOCTEXT(""DT_Items"", ""FallenBranch01_DisplayName"", ""Fallen Branch"")","NSLOCTEXT(""DT_Items"", ""FallenBranch01_Description"", ""A dry branch found on the forest floor. Dead wood served countless purposes - fuel for fires, shafts for spears, clubs for defense. The oldest wooden artifacts ever found, the 400,000-year-old Schöningen spears, were crafted from branches of the slow-growing spruce tree, selected for their straight grain."")","NSLOCTEXT(""DT_Items"", ""FallenBranch01_ShortDescription"", ""A dry fallen branch."")","Wood,Raw,Era1","5","0.600000","0.000000","False","False","False","True","True","","(IconSmall=None,IconLarge=None,Tint=(R=1.000000,G=1.000000,B=1.000000,A=1.000000))","(WorldActorClass=None,StaticMesh=None,MaterialOverride=None,RelativeTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),bSimulatePhysics=False)","(Calories=0.000000,WaterContent=0.000000,Protein=0.000000,Carbohydrates=0.000000,Fat=0.000000,Fiber=0.000000,VitaminA=0.000000,VitaminB=0.000000,VitaminC=0.000000,VitaminD=0.000000,Iron=0.000000,Calcium=0.000000,Potassium=0.000000,Sodium=0.000000)","(Grants=((Id=""Woodworking"",bIsKnowledge=False,XPAmount=1.0,MaxLevel=3)))","False","None","1.000000","0"
"StraightBranch01","StraightBranch01","Material","Common","NSLOCTEXT(""DT_Items"", ""StraightBranch01_DisplayName"", ""Straight Branch"")","NSLOCTEXT(""DT_Items"", ""StraightBranch01_Description"", ""A remarkably straight branch, rare in nature and highly valued. Straight shafts were essential for spears, arrows, and atlatl darts - a crooked shaft flies erratically. Ancient hunters spent considerable effort seeking, selecting, and straightening wooden shafts, sometimes using heat and pressure to correct natural curves."")","NSLOCTEXT(""DT_Items"", ""StraightBranch01_ShortDescription"", ""An unusually straight branch."")","Wood,Raw,Era1","5","0.350000","0.000000","False","False","False","True","True","","(IconSmall=None,IconLarge=None,Tint=(R=1.000000,G=1.000000,B=1.000000,A=1.000000))","(WorldActorClass=None,StaticMesh=None,MaterialOverride=None,RelativeTransform=(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),bSimulatePhysics=False)","(Calories=0.000000,WaterContent=0.000000,Protein=0.000000,Carbohydrates=0.000000,Fat=0.000000,Fiber=0.000000,VitaminA=0.000000,VitaminB=0.000000,VitaminC=0.000000,VitaminD=0.000000,Iron=0.000000,Calcium=0.000000,Potassium=0.000000,Sodium=0.000000)","(Grants=((Id=""Woodworking"",bIsKnowledge=False,XPAmount=3.0,MaxLevel=3),(Id=""ShaftSelection"",bIsKnowledge=True,XPAmount=100.0,MaxLevel=3)))","False","None","1.000000","0"
