"---","RecipeId","DisplayName","Description","Ingredients","Outputs","CraftTime","RequiredStation","RequiredSkillId","RequiredSkillLevel","RequiredKnowledge","SkillXPReward","Icon","Category","RequiredTools","bRequiresDiscovery","DiscoveryKnowledgeId","DiscoveryKnowledgeLevel","DiscoverySkillLevel","bIsBuilding","PlacementData","BuildParts","TotalBuildTime","BuildRange","ProvidedStationType","ContainerSlotCount","bRequiresFuel","MaxFuel","FuelConsumptionRate","AcceptedFuelItems","bIsHarvestRecipe","RequiredTargetTag","bDestroysTarget"
"SelectHammerstone","SelectHammerstone","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""SelectHammerstone_DisplayName"", ""Select Hammerstone"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""SelectHammerstone_Description"", ""Examine river cobbles to find one with the right weight and shape to fit comfortably in your palm. Our ancestors spent two million years perfecting this selection - a good hammerstone becomes an extension of the arm."")","((ItemDefinitionId=""Stone01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""Hammerstone01"",Quantity=1,Chance=1.000000))","8.000000","None","Stoneworking","0","","20.000000","None","Tools","","True","StoneSelection","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"StrikeFlakes","StrikeFlakes","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""StrikeFlakes_DisplayName"", ""Strike Sharp Flakes"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""StrikeFlakes_Description"", ""Strike one stone against another at the correct angle to detach thin, sharp flakes. This simple act - discovered 2.6 million years ago - was humanitys first deliberate tool creation. The flakes produced are waste to the toolmaker but treasure to those who recognize their cutting potential."")","((ItemDefinitionId=""Stone01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""SharpFlake01"",Quantity=3,Chance=1.000000))","12.000000","None","Stoneworking","0","","25.000000","None","Tools","","True","PercussionFlaking","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"ShapeChopper","ShapeChopper","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""ShapeChopper_DisplayName"", ""Shape Crude Chopper"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""ShapeChopper_Description"", ""Remove flakes from one end of a cobble to create a rough chopping edge - the defining tool of Oldowan technology. For over a million years, this was the height of human innovation."")","((ItemDefinitionId=""Stone01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""CrudeChopper01"",Quantity=1,Chance=1.000000),(ItemDefinitionId=""SharpFlake01"",Quantity=2,Chance=1.000000))","20.000000","None","Stoneworking","1","","30.000000","None","Tools","","True","PercussionFlaking","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"ShapeScraper","ShapeScraper","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""ShapeScraper_DisplayName"", ""Shape Stone Scraper"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""ShapeScraper_Description"", ""Carefully retouch a sharp flake to create a steep, sturdy scraping edge. The Oldowan knappers discovered that different angles served different purposes - the scraper was one of humanitys first specialized tools."")","((ItemDefinitionId=""SharpFlake01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""StoneScraper01"",Quantity=1,Chance=1.000000))","15.000000","None","Stoneworking","2","","25.000000","None","Tools","","True","ScraperUse","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"KnapFlintFlakes","KnapFlintFlakes","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""KnapFlintFlakes_DisplayName"", ""Knap Flint Flakes"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""KnapFlintFlakes_Description"", ""Strike flakes from a flint nodule. Flint fractures according to precise physical laws, producing edges sharper than surgical steel - a vast improvement over common stone."")","((ItemDefinitionId=""Flint01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""FlintFlake01"",Quantity=4,Chance=1.000000))","15.000000","None","Stoneworking","3","","35.000000","None","Tools","","True","FlintKnapping","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"KnapFlintKnife","KnapFlintKnife","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""KnapFlintKnife_DisplayName"", ""Knap Flint Knife"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""KnapFlintKnife_Description"", ""Carefully retouch a flint flake to create a durable blade with one sharp edge and one blunt edge for safe handling. The conchoidal fracture of flint produces edges only molecules thick."")","((ItemDefinitionId=""FlintFlake01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""FlintKnife01"",Quantity=1,Chance=1.000000))","20.000000","None","Stoneworking","3","","40.000000","None","Tools","","True","FlintKnapping","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"KnapBifacialHandaxe","KnapBifacialHandaxe","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""KnapBifacialHandaxe_DisplayName"", ""Knap Bifacial Hand Axe"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""KnapBifacialHandaxe_Description"", ""Shape a large flint nodule from both faces to create a symmetrical teardrop form - the hallmark of Acheulean technology. This elegant design produces four times more cutting edge than Oldowan choppers."")","((ItemDefinitionId=""Flint01"",Quantity=2,bRequiresKnowledge=False))","((ItemDefinitionId=""HandAxe01"",Quantity=1,Chance=1.000000),(ItemDefinitionId=""FlintFlake01"",Quantity=3,Chance=1.000000))","45.000000","None","Stoneworking","4","","60.000000","None","Tools","","True","FlintKnapping","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"CookMeat","CookMeat","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""CookMeat_DisplayName"", ""Cook Meat"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""CookMeat_Description"", ""Roast meat over the fire until done. The control of fire transformed human nutrition - cooking breaks down proteins, kills parasites, and releases more calories."")","((ItemDefinitionId=""RawMeat01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""CookedMeat01"",Quantity=1,Chance=1.000000))","60.000000","Campfire","Cooking","0","","20.000000","None","Food","","False","None","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"StripBark","StripBark","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""StripBark_DisplayName"", ""Strip Birch Bark"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""StripBark_Description"", ""Carefully peel thin layers of papery bark from a birch branch. The bark separates most easily in early spring when the sap rises - a technique humans have used for over fifty thousand years."")","((ItemDefinitionId=""Stick01"",Quantity=1,bRequiresKnowledge=False))","((ItemDefinitionId=""Bark01"",Quantity=4,Chance=1.000000),(ItemDefinitionId=""Stick02"",Quantity=1,Chance=1.000000))","12.000000","None","Woodworking","0","","8.000000","None","Materials","","True","BarkFiber","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
"ShredBark","ShredBark","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""ShredBark_DisplayName"", ""Shred Bark to Fiber"")","NSLOCTEXT(""Recipes [40E94CAC0878528FA6EFADE17AF8FFE7]"", ""ShredBark_Description"", ""Tear and shred birch bark to separate the inner bast fibers. These long, flexible strands were the basis of Neanderthal cordage technology - evidence of which dates back at least 50,000 years."")","((ItemDefinitionId=""Bark01"",Quantity=2,bRequiresKnowledge=False))","((ItemDefinitionId=""PlantFiber01"",Quantity=3,Chance=1.000000))","10.000000","None","Weaving","0","","12.000000","None","Materials","","True","BarkFiber","1","0","False","(bPrefersGroundPlacement=True,bPrefersWallPlacement=False,bPrefersCeilingPlacement=False,bAllowZRotation=True,bAllowXRotation=False,bAllowYRotation=False,RotationIncrement=15.000000,bRequiresNoCollision=True,PreviewMesh=None,PreviewScale=(X=1.000000,Y=1.000000,Z=1.000000),BuildableActorClass=None)","","60.000000","150.000000","None","0","False","100.000000","1.000000","","False","None","False"
